x,y,z,u,v,w_FE,sigma
1.0,7.0,0.0,0.0011203264057820037,0.015183937523520619,0.00023448804129164386,1
0.5,7.0,0.0,0.0014596969486402524,0.015202996594211147,0.00025068055814584007,1
-1.0,7.0,0.0,0.0023012850481242933,0.015238295750247788,0.00040911528272508145,1
-0.5,7.0,0.0,0.0019848620316666116,0.015246787287458286,0.00033064436635982334,1
0.6339745962155461,6.633974596215545,0.0,0.0012570222644766363,0.01450846402548606,0.0003462593165845664,1
0.0,7.0,0.0,0.001725089426407795,0.015230035827227418,0.0002880506733918899,1
1.0,6.5,0.0,0.0008984370351579872,0.01413566061351563,0.0003444208014732571,1
-0.6339745962155465,6.633974596215545,0.0,0.0021452468135754457,0.014607744473910365,0.0004405419867182932,1
0.2306624327025943,6.578151847792412,0.0,0.0015506606538885873,0.014504232221847631,0.0003880614540233368,1
-1.0,6.5,0.0,0.0024532243410545895,0.014308465649058837,0.0005141661042090269,1
-0.2490558517600352,6.577292096379068,0.0,0.0018789045861180797,0.014533753940261898,0.0004194724994430105,1
0.5382005715064118,6.191640160733744,0.0,0.0011872088357729293,0.013655307876374234,0.00045224666638723555,1
1.0,6.0,0.0,0.0007108498358293417,0.013110195660375908,0.00045096865829168955,1
-0.5300432691105783,6.209402504672855,0.0,0.002124504419376622,0.01381328629773232,0.0005423701997828592,1
-0.01229653783439488,6.178392786804906,0.0,0.0016766629948155385,0.013747175348716823,0.0005082719009607445,1
-1.0,6.0,0.0,0.0025401476037661564,0.013368748705981329,0.0006304728573278569,1
0.2270431528515333,5.710336427286295,0.0,0.0013743840529538203,0.01268923742235215,0.0005766523331498404,1
0.6664462044931447,5.730395317604007,0.0,0.0009590331674931089,0.012619704251771124,0.000529940443168774,1
1.0,5.5,0.0,0.0005944935153095797,0.012040680050264714,0.0005394762626608462,1
-0.2242424280847164,5.854495338957316,0.0,0.001835837040913174,0.013057807993870369,0.0005940587336312724,1
-0.5907334698793538,5.721662714353165,0.0,0.002171917796111434,0.012790450345123485,0.0006518205932768437,1
-1.0,5.5,0.0,0.0025254838989119534,0.012353680224183957,0.0007232709034622207,1
0.5669872981077808,5.25,0.0,0.0009601671357578727,0.011585762359285124,0.0006143291224060949,1
1.0,5.0,0.0,0.00048185339336966,0.010928769710727513,0.0006063494424306813,1
-0.1944219678743568,5.468178735961752,0.0,0.001755353219190824,0.012199505291258945,0.0006562973751157824,1
-0.5772871795703436,5.245277119058862,0.0,0.002091145143165341,0.0117623636194645,0.0007256164453969935,1
0.1515247006009255,5.24712733945247,0.0,0.00137498443719134,0.011653340105128406,0.000653714785214216,1
0.6941006488609816,4.749999999999998,0.0,0.0007402695023975852,0.010426038292874664,0.0006634177339178907,1
-1.0,5.0,0.0,0.002445860763980809,0.01130097170117196,0.000795218235103028,1
1.0,4.5,0.0,0.00038252567660564146,0.00979075723251938,0.0006596162488871463,1
0.2990381056766616,4.750000000000027,0.0,0.001135430265200154,0.010506428472462923,0.0007015213460689348,1
-0.1646500805713766,5.003225419310539,0.0,0.001645198526597124,0.011162322234677892,0.0007164116687689245,1
-0.5669872981077804,4.75,0.0,0.001985605738144802,0.010681821368867323,0.0007821377592166842,1
-1.0,4.5,0.0,0.0023425311690817357,0.010225925318510302,0.0008477973345798127,1
-0.1294623470378049,4.448474377335213,0.0,0.001492245078864017,0.009923575367925073,0.0007696884938354327,1
0.5614416914450615,4.289397471636324,0.0,0.0007765408906798468,0.00941144945508131,0.0007159574043796561,1
-0.5874208150370204,4.241412396222533,0.0,0.0018869680708434849,0.009571686329540722,0.0008280656428341647,1
0.220463492598832,4.386095222035955,0.0,0.0011327995500455626,0.009706939438848811,0.0007399845341270795,1
1.0,4.0,0.0,0.00027071629657456347,0.008650006515982482,0.0006941939382848929,1
-1.0,4.0,0.0,0.0022200902600043116,0.009148617624701304,0.000879508597703877,1
0.1680961047290235,4.044519889405652,0.0,0.0011049574550141411,0.008954642590969916,0.0007664103084717538,1
-0.2071479510344663,3.914067777160565,0.0,0.0014386525113872465,0.008756075375780147,0.0008075412370390645,1
