"Average",,,,,,,,,,,"R0",,,,,,,,,,"Analog",,
"Index [1]","X [mm]","Y [mm]","U [mm]","V [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","X [mm]","Y [mm]","U [mm]","V [mm]","exx [1] - Lagrange","eyy [1] - Lagrange","exy [1] - Lagrange","e1 [1] - Lagrange","e2 [1] - Lagrange","gamma [1] - Lagrange","Time_0","deplacement_(mm)","Charge_(KN)"
15,-3.33674,-0.789118,-0.00814367,0.0331077,-0.000116752,0.000518674,5.50681e-05,0.000532804,-0.00013088,0.838611,-2.96421,0.0873111,-0.00482421,0.032625,-0.000107736,0.000603343,7.27134e-05,0.000615922,-0.000120316,1.04185,89.1824,0.0641,0.8831
16,-3.33674,-0.789118,-0.00458381,0.0383235,-0.000124213,0.000565123,6.46176e-05,0.000580975,-0.000140064,0.869238,-2.96421,0.0873111,-0.000517863,0.0378288,-0.000117883,0.00065928,8.3011e-05,0.000673421,-0.000132024,1.08269,89.6823,0.0808,0.9614
17,-3.33674,-0.789118,-0.000268763,0.0416445,-0.000133781,0.000609762,7.15706e-05,0.00062799,-0.000152012,0.910126,-2.96421,0.0873111,0.00456053,0.0410901,-0.000124395,0.000712829,9.47907e-05,0.000728931,-0.000140494,1.11389,90.1823,0.0982,1.0338
18,-3.33674,-0.789118,0.00211023,0.0448681,-0.00014373,0.000648527,8.02618e-05,0.000667197,-0.000162399,0.954027,-2.96421,0.0873111,0.00765479,0.0443258,-0.00013433,0.00076205,0.000101583,0.000779216,-0.000151497,1.15067,90.6823,0.1143,1.0976
19,-3.33674,-0.789118,0.00591095,0.0488941,-0.000151559,0.000688302,8.57605e-05,0.000709043,-0.000172304,0.963018,-2.96421,0.0873111,0.0121283,0.0483993,-0.000139261,0.000809075,0.000111145,0.000828048,-0.000158236,1.16434,91.1823,0.1327,1.1623
20,-3.33674,-0.789118,0.00897688,0.0518222,-0.000160026,0.000721768,9.14271e-05,0.000743381,-0.000181637,0.987523,-2.96421,0.0873111,0.0158478,0.0513209,-0.000148129,0.00085235,0.000119744,0.00087276,-0.000168541,1.19557,91.6824,0.1465,1.2164
21,-3.33674,-0.789118,0.01129,0.0548121,-0.000171466,0.000754002,9.56586e-05,0.000777761,-0.000195226,0.98857,-2.96421,0.0873111,0.0188025,0.0542737,-0.000156561,0.00089437,0.000121758,0.000914662,-0.000176855,1.14706,92.1823,0.1633,1.2647
22,-3.33674,-0.789118,0.0138425,0.0582406,-0.000176878,0.000783244,0.000101772,0.000807807,-0.000201439,0.98359,-2.96421,0.0873111,0.0219564,0.0576464,-0.000162564,0.000928594,0.000129649,0.000950297,-0.000184266,1.17953,92.6824,0.18,1.344
23,-3.33674,-0.789118,0.0165463,0.0608261,-0.000186622,0.000812116,0.000107378,0.000837855,-0.00021236,1.00496,-2.96421,0.0873111,0.0252099,0.0601859,-0.000173525,0.000951138,0.000141,0.000975336,-0.000197724,1.23721,93.1824,0.1974,1.372
24,-3.33674,-0.789118,0.0182152,0.0648975,-0.000194722,0.000834243,0.00011333,0.000861846,-0.000222325,1.02357,-2.96421,0.0873111,0.0272991,0.0644189,-0.000178213,0.000988697,0.000144811,0.00101343,-0.000202947,1.23912,93.6824,0.2148,1.4077
