x,y,z,u,v,w_FE,sigma
10.0,0.0,0.0,-0.005250000000000005,-0.05250000000000004,0.0,1
9.633974596215559,0.3660254037844402,0.0,-0.005996695998103234,-0.05181551975252899,0.00021044464719155654,1
9.5,0.0,0.0,-0.005250000000000005,-0.05250000000000004,0.0,1
10.0,0.5,0.0,-0.008581052149657908,-0.04951016305825237,0.00025705322787244154,1
9.25467559824487,0.400983722371488,0.0,-0.00560112638967682,-0.05201250549242204,3.3296135004813645e-05,1
9.521396737744517,0.7828118061189917,0.0,-0.007847524442969368,-0.050009602179843966,2.203759179236641e-05,1
9.0,0.0,0.0,-0.005250000000000005,-0.05250000000000004,0.0,1
10.0,1.0,0.0,-0.01182483134383422,-0.0454174479227437,0.0003095166623947435,1
9.067001304465473,0.7497387688667247,0.0,-0.0065177615102507466,-0.05126665040081546,2.4384026184474425e-07,1
8.731243898931995,0.4692819099406025,0.0,-0.005433515212924135,-0.05217096138787524,3.2188137275369834e-05,1
9.571519695105163,1.279012518549322,0.0,-0.011529362844039943,-0.045962359331773,0.00017709086751258016,1
8.5,0.0,0.0,-0.005250000000000005,-0.05250000000000004,0.0,1
9.115550271795264,1.158207193061171,0.0,-0.008247516586665306,-0.04930331790839691,-1.4142751004238506e-05,1
10.0,1.5,0.0,-0.02350331441672842,-0.035718233971638515,0.000691758380506311,1
8.712140015610718,0.9374092128413682,0.0,-0.006305609156837208,-0.0511712659614487,-9.332944086328341e-05,1
8.372073632420292,0.7696903450118127,0.0,-0.005574885137739966,-0.051936257795492956,-5.952658507493944e-05,1
8.205761043397324,0.4014362842930268,0.0,-0.005326073715757131,-0.052297976417115935,9.45646319109963e-06,1
8.0,0.0,0.0,-0.005250000000000005,-0.05250000000000004,0.0,1
9.557523743969114,1.771394102867546,0.0,-0.02242794873515252,-0.037022985780909096,0.00045902005945925363,1
9.07789001838561,1.63719920874812,0.0,-0.01169491693525786,-0.04595800292853797,0.000147597346526138,1
8.275645888758229,1.132760892020857,0.0,-0.005972415197608447,-0.051456993195741284,-0.00026166967952934335,1
8.685513297839753,1.375176180822828,0.0,-0.007866590813739615,-0.04948209380403994,-0.00021000479953186212,1
7.716202045109605,0.4161691997972925,0.0,-0.005266749413808698,-0.05235388774268749,-1.7167871862279062e-05,1
10.0,2.0,0.0,-0.030909211148040308,-0.028111393646594367,0.0009725882397068552,1
7.937893279260705,0.823447481883119,0.0,-0.00540965418720044,-0.052101617643638846,-0.00011498497700809337,1
7.5,0.0,0.0,-0.005250000000000005,-0.05250000000000004,0.0,1
7.803283948039958,1.345945164218203,0.0,-0.005747437781435683,-0.05172890125862378,-0.00037678725992851405,1
9.548554880611304,2.301426272096517,0.0,-0.03197110542434975,-0.0304478034093751,0.0007836833034409555,1
8.26658463731788,1.593391891352712,0.0,-0.007495862212602014,-0.04971470534423312,-0.00043306395135168376,1
9.069062215148694,2.100686970043919,0.0,-0.02346872605417718,-0.03790408895693132,0.00029232254758223175,1
8.666493436729212,1.852586822743542,0.0,-0.011080045819499486,-0.04640692960662235,-0.00027587363672169077,1
7.417738707471063,0.8936692497776564,0.0,-0.005332591475030512,-0.052216902315392326,-0.00013234231989766478,1
10.0,2.5,0.0,-0.037263416478061445,-0.024957891837090195,0.0013572454793413314,1
7.252001221938241,0.4025992566782479,0.0,-0.005247489262545013,-0.05240785657324141,-1.4520692838718219e-05,1
7.321429885488125,1.376279339319969,0.0,-0.005531659128032973,-0.05197919372881651,-0.00032939221489583633,1
8.269669595528674,2.071023276836128,0.0,-0.010036200096843757,-0.04662129765319987,-0.0006594138056368781,1
9.116840225396354,2.586231158278938,0.0,-0.03220785315622021,-0.030644375982321604,0.0005515953194883518,1
7.551588621274673,1.794668150475628,0.0,-0.006207988890223561,-0.05123788645895276,-0.0005673340604845651,1
10.0,3.0,0.0,-0.03960338937776378,-0.024276892785568136,0.0011788313223883818,1
9.547903099153668,2.850245401388697,0.0,-0.03855098906207958,-0.026020525812710447,0.0008729725466796855,1
6.97366296493606,2.223020396282533,0.0,-0.006749287758183697,-0.05184372530008409,-0.0006305346617126645,1
7.072173442264832,1.730673724312407,0.0,-0.005709110302327119,-0.05196652353805463,-0.0004482894806087335,1
7.948732688868448,1.816429879903127,0.0,-0.007392321026002566,-0.04989950269132498,-0.0006112862440379308,1
8.657298018480674,2.324955286269978,0.0,-0.02229671733721597,-0.03737472948878423,-0.00012004406269092478,1
7.0,0.0,0.0,-0.005250000000000005,-0.05250000000000004,0.0,1
6.656979603717467,1.90633703506394,0.0,-0.005924393108169468,-0.0523853420798738,-0.000462424164098674,1
7.390242798042057,2.224659826899655,0.0,-0.007137269407143129,-0.05053527936249421,-0.0006862531310499695,1
9.749248218458327,3.25,0.0,-0.040298009969514596,-0.024690357337738653,0.0010408507576217805,1
6.961890281615835,1.18043582697062,0.0,-0.0053743408210254135,-0.05224829327299855,-0.00021165997756174897,1
7.211937735804838,2.602232521764884,0.0,-0.009016317570816869,-0.05003151281013048,-0.0006050676330312079,1
10.0,3.5,0.0,-0.040046949138590006,-0.024991193850025087,0.0012336933563505627,1
